Country,Country Code,p2020,p2021,p2022,p2023
Aruba,ABW,106585,106537,106445,106277
Africa Eastern and Southern,AFE,685112979,702977106,720859132,739108306
Afghanistan,AFG,38972230,40099462,41128771,42239854
Africa Western and Central,AFW,466189102,478185907,490330870,502789511
Angola,AGO,33428486,34503774,35588987,36684202
Albania,ALB,2837849,2811666,2777689,2745972
Andorra,AND,77700,79034,79824,80088
Arab World,ARB,449228296,456520777,464684914,473272080
United Arab Emirates,ARE,9287289,9365145,9441129,9516871
Argentina,ARG,45376763,45808747,46234830,46654581
Armenia,ARM,2805608,2790974,2780469,2777970
American Samoa,ASM,46189,45035,44273,43914
Antigua and Barbuda,ATG,92664,93219,93763,94298
Australia,AUS,25649248,25685412,26014399,26638544
Austria,AUT,8916864,8955797,9041851,9132383
Azerbaijan,AZE,10093121,10137750,10141756,10112555
Burundi,BDI,12220227,12551213,12889576,13238559
Belgium,BEL,11538604,11586195,11685814,11822592
Benin,BEN,12643123,12996895,13352864,13712828
Burkina Faso,BFA,21522626,22100683,22673762,23251485
Bangladesh,BGD,167420951,169356251,171186372,172954319
Bulgaria,BGR,6934015,6877743,6465097,6430370
Bahrain,BHR,1477469,1463265,1472233,1485509
"Bahamas, The",BHS,406471,407906,409984,412623
Bosnia and Herzegovina,BIH,3318407,3270943,3233526,3210847
Belarus,BLR,9379952,9302585,9228071,9178298
Belize,BLZ,394921,400031,405272,410825
Bermuda,BMU,63893,63764,63595,63489
Bolivia,BOL,11936162,12079472,12224110,12388571
Brazil,BRA,213196304,214326223,215313498,216422446
Barbados,BRB,280693,281200,281635,281995
Brunei Darussalam,BRN,441725,445373,449002,452524
Bhutan,BTN,772506,777486,782455,787424
Botswana,BWA,2546402,2588423,2630296,2675352
Central African Republic,CAF,5343020,5457154,5579144,5742315
Canada,CAN,38028638,38239864,38939056,40097761
Central Europe and the Baltics,CEB,102180124,101413157,100108262,100156608
Switzerland,CHE,8638167,8704546,8775760,8849852
Channel Islands,CHI,171113,172683,174079,175346
Chile,CHL,19300315,19493184,19603733,19629590
China,CHN,1411100000,1412360000,1412175000,1410710000
Cote d'Ivoire,CIV,26811790,27478249,28160542,28873034
Cameroon,CMR,26491087,27198628,27914536,28647293
"Congo, Dem. Rep.",COD,92853164,95894118,99010212,102262808
"Congo, Rep.",COG,5702174,5835806,5970424,6106869
Colombia,COL,50930662,51516562,51874024,52085168
Comoros,COM,806166,821625,836774,852075
Cabo Verde,CPV,582640,587925,593149,598682
Costa Rica,CRI,5123105,5153957,5180829,5212173
Caribbean small states,CSS,3106185,3128519,3147057,3167738
Cuba,CUB,11300698,11256372,11212191,11194449
Curacao,CUW,154947,152369,149996,147862
Cayman Islands,CYM,67311,68136,68706,69310
Cyprus,CYP,1237537,1244188,1251488,1260138
Czechia,CZE,10697858,10505772,10672118,10873689
Germany,DEU,83160871,83196078,83797985,84482267
Djibouti,DJI,1090156,1105557,1120849,1136455
Dominica,DMA,71995,72412,72737,73040
Denmark,DNK,5831404,5856733,5903037,5946952
Dominican Republic,DOM,10999664,11117873,11228821,11332972
Algeria,DZA,43451666,44177969,44903225,45606480
East Asia & Pacific (excluding high income),EAP,2116360715,2123610397,2129094071,2133652241
Early-demographic dividend,EAR,3374383528,3411268373,3447398652,3486290439
East Asia & Pacific,EAS,2363934334,2370214403,2375208613,2380601170
Europe & Central Asia (excluding high income),ECA,248913167,250663105,246915820,247474425
Europe & Central Asia,ECS,923384672,924168763,920988359,923929755
Ecuador,ECU,17588595,17797737,18001000,18190484
"Egypt, Arab Rep.",EGY,107465134,109262178,110990103,112716598
Euro area,EMU,346961127,346942960,348331552,350357398
Eritrea,ERI,3555868,3620312,3684032,3748901
Spain,ESP,47365655,47415794,47778340,48373336
Estonia,EST,1329522,1330932,1348840,1366188
Ethiopia,ETH,117190911,120283026,123379924,126527060
European Union,EUU,447692315,447178093,447370551,449476878
Fragile and conflict affected situations,FCS,979839336,1001870564,1019145355,1042703808
Finland,FIN,5529543,5541017,5556106,5584264
Fiji,FJI,920422,924610,929766,936375
France,FRA,67571107,67764304,67971311,68170228
Faroe Islands,FRO,52415,52889,53090,53270
"Micronesia, Fed. Sts.",FSM,112106,113131,114164,115224
Gabon,GAB,2292573,2341179,2388992,2436566
United Kingdom,GBR,67081234,67026292,67791000,68350000
Georgia,GEO,3722716,3708610,3712502,3760365
Ghana,GHA,32180401,32833031,33475870,34121985
Gibraltar,GIB,32709,32669,32649,32688
Guinea,GIN,13205153,13531906,13859341,14190612
"Gambia, The",GMB,2573995,2639916,2705992,2773168
Guinea-Bissau,GNB,2015828,2060721,2105566,2150842
Equatorial Guinea,GNQ,1596049,1634466,1674908,1714671
Greece,GRC,10698599,10569207,10426919,10361295
Grenada,GRD,123663,124610,125438,126183
Greenland,GRL,56367,56653,56661,56865
Guatemala,GTM,16858333,17109746,17357886,17602431
Guam,GUM,169231,170534,171774,172952
Guyana,GUY,797202,804567,808726,813834
High income,HIC,1393950970,1392964458,1395940386,1403021503
"Hong Kong SAR, China",HKG,7481000,7413100,7346100,7536100
Honduras,HND,10121763,10278345,10432860,10593798
Heavily indebted poor countries (HIPC),HPC,838066650,861156745,884288332,907995430
Croatia,HRV,4047680,3878981,3855641,3853200
Haiti,HTI,11306801,11447569,11584996,11724763
Hungary,HUN,9750149,9709891,9643048,9589872
IBRD only,IBD,4866828116,4894666421,4912348798,4937047867
