,Country,Total.Library.Size,g2020,g2021,g2022,g2023,Cost,Educ_index,Freedom_index,p2020,p2021,p2022,p2023,Immi_perc,Subregion,penetration rate ,u2020,u2021,u2022,u2023,m2020,m2021,m2022,m2023
0,Albania,6705,15162734205.0,17930565119.0,18916378861.0,22977677861.0,8.61,0.746,99.0,2837849.0,2811666.0,2777689.0,2745972.0,1.7,Southern Europe,0.737,10.97,11.66,10.5,11.64,2.84,3.83,4.18,5.38
1,Algeria,5969,165000000000.0,186000000000.0,226000000000.0,240000000000.0,7.99,0.672,139.0,43451666.0,44177969.0,44903225.0,45606480.0,0.57,Northern Africa,0.596,6.87,8.19,8.81,9.82,57.55,79.51,96.81,119.5
2,Andorra,6702,2891001149.0,3324683012.0,3380602043.0,3727673593.0,14.0,0.72,72.0,77700.0,79034.0,79824.0,80088.0,58.98,Southern Europe,0.963,12.7725,14.61375,14.0525,16.4225,173.89375,239.78,264.70124999999996,340.7075
3,Argentina,6702,386000000000.0,488000000000.0,631000000000.0,641000000000.0,3.57,0.855,66.0,45376763.0,45808747.0,46234830.0,46654581.0,5.05,South America,0.884,13.31,14.95,15.52,16.86,209.1,256.8,285.2,325.9
4,Australia,7120,1330000000000.0,1560000000000.0,1690000000000.0,1720000000000.0,11.19,0.924,39.0,25649248.0,25685412.0,26014399.0,26638544.0,30.14,"Australia, New Zealand",0.976,27.74,31.73,33.0,36.52,731.6,903.0,1000.0,1164.0
5,Austria,7904,435000000000.0,479000000000.0,471000000000.0,516000000000.0,14.0,0.865,32.0,8916864.0,8955797.0,9041851.0,9132383.0,19.3,Western Europe,0.861,18.64,22.37,22.4,27.31,136.0,177.8,189.5,241.2
6,Bahrain,6360,34621807713.0,39288670213.0,44383297872.0,43200000000.0,10.49,0.769,173.0,1477469.0,1463265.0,1472233.0,1485509.0,55.01,Western Asia,0.978,10.23,10.93,10.74,11.07,9.32,10.75,11.05,11.72
7,Belgium,7561,526000000000.0,601000000000.0,584000000000.0,632000000000.0,14.54,0.902,16.0,11538604.0,11586195.0,11685814.0,11822592.0,17.3,Western Europe,0.863,32.14,36.05,34.33,40.22,332.1,402.8,404.8,491.5
8,Bermuda,7125,6887147000.0,7286607000.0,7827980000.0,,12.99,,,63893.0,63764.0,63595.0,63489.0,30.89,Northern America,0.94,26.16,29.136666666666667,29.75666666666667,32.37,9141.066666666668,11048.833333333334,12121.1,13988.333333333334
9,Bolivia,6520,36629843806.0,40406111693.0,44008282880.0,45849832906.0,5.99,,124.0,11936162.0,12079472.0,12224110.0,12388571.0,1.41,South America,0.401,10.63,11.7,11.7,12.21,35.82,42.75,45.01,48.61
10,Brazil,6783,1480000000000.0,1670000000000.0,1950000000000.0,2170000000000.0,8.1,0.694,82.0,213196304.0,214326223.0,215313498.0,216422446.0,0.51,South America,0.771,10.89,12.45,13.08,14.4,827.2,1065.0,1229.0,1451.0
11,Bulgaria,8300,70368758395.0,84041493016.0,90346169915.0,102000000000.0,8.61,0.779,59.0,6934015.0,6877743.0,6465097.0,6430370.0,2.65,Eastern Europe,0.652,6.16,6.85,6.45,7.43,9.69,12.33,12.87,16.05
12,Canada,7176,1660000000000.0,2010000000000.0,2160000000000.0,2140000000000.0,12.13,0.894,14.0,38028638.0,38239864.0,38939056.0,40097761.0,21.33,Northern America,0.89,31.74,36.75,38.63,43.1,1217.0,1560.0,1795.0,2165.0
13,Chile,6529,254000000000.0,316000000000.0,302000000000.0,336000000000.0,9.58,0.81,52.0,19300315.0,19493184.0,19603733.0,19629590.0,8.61,South America,0.763,19.59,22.39,23.63,26.12,174.6,218.3,244.6,280.4
14,Colombia,6462,270000000000.0,319000000000.0,345000000000.0,364000000000.0,6.75,0.682,119.0,50930662.0,51516562.0,51874024.0,52085168.0,3.74,South America,0.764,19.27,20.81,20.5,21.15,288.5,339.8,354.5,379.0
15,Costa Rica,6626,62395610760.0,64960725734.0,69243626029.0,86497941439.0,12.99,0.726,26.0,5123105.0,5153957.0,5180829.0,5212173.0,10.22,Central America,0.681,7.7,8.04,7.68,7.72,16.24,18.32,18.37,19.03
16,Croatia,6864,58221300898.0,69602166351.0,71997070660.0,82688842717.0,8.61,0.805,48.0,4047680.0,3878981.0,3855641.0,3853200.0,12.86,Southern Europe,0.692,9.1,9.96,9.21,10.43,9.86,12.11,12.2,14.72
17,Czech Republic,7531,246000000000.0,282000000000.0,291000000000.0,331000000000.0,11.42,,,,,,,5.05,Eastern Europe,0.795,11.463333333333333,12.588333333333333,10.363333333333333,12.573333333333332,57.71,64.15,58.77,65.33
18,Denmark,7401,355000000000.0,406000000000.0,400000000000.0,404000000000.0,16.46,0.92,2.0,5831404.0,5856733.0,5903037.0,5946952.0,12.39,Northern Europe,0.924,35.17,38.83,36.56,42.27,242.1,288.1,284.4,338.5
19,Ecuador,6607,95865472000.0,107000000000.0,117000000000.0,119000000000.0,7.99,0.702,110.0,17588595.0,17797737.0,18001000.0,18190484.0,4.45,South America,0.535,16.3,17.29,16.71,16.96,67.43,75.25,74.85,77.32
20,El Salvador,6451,24921190000.0,29043140000.0,31988920000.0,34015620000.0,7.99,0.555,133.0,6292731.0,6314167.0,6336392.0,6364943.0,0.66,Central America,0.316,14.46,16.28,16.56,17.54,27.96,33.41,35.13,37.91
21,Equatorial Guinea,2309,9893816008.0,12215878033.0,13486788879.0,12116922539.0,7.99,0.467,127.0,1596049.0,1634466.0,1674908.0,1714671.0,16.44,Middle Africa,0.204,5.51,6.27,6.42,6.78,2.07,2.44,2.57,2.8
22,Estonia,8245,31330419851.0,36864792512.0,37921480882.0,40744848828.0,10.76,0.882,6.0,1329522.0,1330932.0,1348840.0,1366188.0,15.02,Northern Europe,0.912,7.2,8.04,7.56,8.71,3.36,4.24,4.36,5.35
23,Fiji,2321,4432466220.0,4305031650.0,4979979531.0,5494797541.0,7.99,0.764,44.0,920422.0,924610.0,929766.0,936375.0,1.57,Melanesia,0.489,9.43,10.05,9.75,9.94,2.15,2.52,2.61,2.77
24,Finland,7325,272000000000.0,296000000000.0,282000000000.0,300000000000.0,12.92,0.927,5.0,5529543.0,5541017.0,5556106.0,5584264.0,6.97,Northern Europe,0.977,29.98,32.61,30.31,34.76,167.5,196.6,191.8,226.8
25,France,7558,2650000000000.0,2960000000000.0,2780000000000.0,3030000000000.0,14.54,0.817,21.0,67571107.0,67764304.0,67971311.0,68170228.0,13.06,Western Europe,0.922,25.0,29.54,29.28,35.26,1164.0,1511.0,1628.0,2105.0
26,French Polynesia,5660,5792545871.0,6150640646.0,5814661209.0,,11.99,,,301920.0,304032.0,306279.0,308872.0,10.71,Polynesia,0.677,,,,,,,,
27,Germany,7940,3890000000000.0,4280000000000.0,4080000000000.0,4460000000000.0,14.0,0.943,10.0,83160871.0,83196078.0,83797985.0,84482267.0,18.81,Western Europe,0.933,30.58,35.4,34.55,41.1,2065.0,2686.0,2890.0,3718.0
28,Ghana,2349,70043095504.0,79524421861.0,74263364042.0,76370394412.0,7.99,0.563,50.0,32180401.0,32833031.0,33475870.0,34121985.0,1.53,Western Africa,0.459,6.88,9.24,10.68,12.25,28.2,46.85,64.4,85.05
29,Gibraltar,7209,,,,,14.0,,,32709.0,32669.0,32649.0,32688.0,33.21,Southern Europe,0.995,12.7725,14.61375,14.0525,16.4225,173.89375,239.78,264.70124999999996,340.7075
30,Greece,7496,188000000000.0,215000000000.0,218000000000.0,238000000000.0,11.84,0.849,88.0,10698599.0,10569207.0,10426919.0,10361295.0,12.86,Southern Europe,0.759,15.89,16.8,15.01,16.51,54.8,62.54,59.42,68.52
31,Guatemala,6562,77715183063.0,86053083476.0,95003330316.0,102000000000.0,7.99,0.519,138.0,16858333.0,17109746.0,17357886.0,17602431.0,0.47,Central America,0.667,11.38,12.57,12.55,13.03,66.97,81.25,86.45,93.8
32,Honduras,6285,23352232484.0,28144331507.0,31426041807.0,34400509852.0,7.99,0.499,146.0,10121763.0,10278345.0,10432860.0,10593798.0,0.4,Central America,0.29,13.39,15.01,15.19,16.01,33.39,40.82,43.77,47.93
33,Hungary,6522,157000000000.0,182000000000.0,177000000000.0,212000000000.0,9.85,0.821,67.0,9750149.0,9709891.0,9643048.0,9589872.0,6.05,Eastern Europe,0.768,5.11,5.38,4.79,5.26,16.9,19.57,18.66,21.43
34,Iceland,8186,21629953194.0,25797870984.0,28701830402.0,31020032583.0,14.0,0.926,18.0,366463.0,372520.0,382003.0,393600.0,19.17,Northern Europe,0.999,18.4,19.27,17.19,18.63,5.12,5.8,5.44,6.09
35,India,6773,2670000000000.0,3170000000000.0,3350000000000.0,3550000000000.0,5.98,0.555,159.0,1396387127.0,1407563842.0,1417173173.0,1428627663.0,0.35,Southern Asia,0.626,3.34,4.25,4.82,5.56,758.4,1086.0,1359.0,1696.0
36,Indonesia,7163,1060000000000.0,1190000000000.0,1320000000000.0,1370000000000.0,7.72,0.65,111.0,271857970.0,273753191.0,275501339.0,277534122.0,0.13,South-eastern Asia,0.788,4.73,5.67,6.17,6.93,155.5,208.7,249.7,302.6
37,Iraq,6320,181000000000.0,210000000000.0,287000000000.0,251000000000.0,7.99,0.557,169.0,42556984.0,43533592.0,44496122.0,45504560.0,0.91,Western Asia,0.434,8.28,9.59,10.05,10.94,45.14,58.8,67.49,78.69
38,Ireland,7826,429000000000.0,513000000000.0,533000000000.0,546000000000.0,16.15,0.922,8.0,4985382.0,5033164.0,5127170.0,5262382.0,17.64,Northern Europe,0.807,26.25,29.78,28.57,33.74,109.6,135.8,138.4,170.4
39,Israel,5882,413000000000.0,489000000000.0,525000000000.0,510000000000.0,12.67,0.883,101.0,9215100.0,9371400.0,9557500.0,9756700.0,22.57,Western Asia,0.763,22.73,25.29,25.96,28.02,176.0,215.1,236.0,267.0
40,Italy,7633,1900000000000.0,2150000000000.0,2070000000000.0,2250000000000.0,14.0,0.793,46.0,59438851.0,59133173.0,58940425.0,58761146.0,10.56,Southern Europe,0.853,13.62,17.44,18.31,22.92,615.1,858.1,954.9,1242.0
41,Japan,7149,5060000000000.0,5030000000000.0,4260000000000.0,4210000000000.0,10.28,0.851,70.0,126261000.0,125681593.0,125124989.0,124516650.0,2.19,Eastern Asia,0.942,29.22,32.75,33.62,37.02,1953.0,2387.0,2586.0,2937.0
42,Jordan,6479,43700383099.0,46296100141.0,48653381831.0,50813642349.0,7.99,0.667,132.0,10928721.0,11148278.0,11285869.0,11337052.0,33.89,Western Asia,0.581,7.07,8.37,9.01,10.08,10.44,13.82,16.18,19.23
43,Kenya,2339,101000000000.0,110000000000.0,113000000000.0,107000000000.0,4.52,0.534,102.0,51985780.0,53005614.0,54027487.0,55100586.0,1.95,Eastern Africa,0.167,3.6,4.43,4.88,5.54,19.47,29.71,39.19,51.47
44,Kuwait,6498,108000000000.0,142000000000.0,183000000000.0,162000000000.0,9.99,0.638,131.0,4360444.0,4250114.0,4268873.0,4310108.0,72.83,Western Asia,0.954,6.98,7.39,7.19,7.4,11.58,14.13,15.4,17.27
45,Latvia,8267,34390910339.0,39443126174.0,40422521943.0,43627078481.0,10.76,0.883,12.0,1900449.0,1884490.0,1879383.0,1881750.0,12.69,Northern Europe,0.846,9.08,10.07,9.44,10.82,5.76,7.06,7.14,8.63
46,Lebanon,6544,31712128254.0,23131941557.0,20992421949.0,,7.99,0.604,140.0,5662923.0,5592631.0,5489739.0,5353930.0,25.09,Western Asia,0.85,10.21,10.87,10.68,11.07,5.84,6.85,7.21,7.81
47,Libya,6251,65688454972.0,47786789104.0,55938727098.0,50491722446.0,7.99,0.61,143.0,6653942.0,6735277.0,6812341.0,6888388.0,12.03,Northern Africa,0.206,6.516666666666667,7.486666666666667,7.683333333333334,8.573333333333332,30.94666666666667,42.01666666666667,49.75,61.25666666666667
48,Liechtenstein,7921,6405870210.0,7710380086.0,7364654515.0,,21.48,0.832,15.0,38756.0,39039.0,39327.0,39584.0,67.87,Western Europe,0.953,25.998333333333335,29.828333333333333,28.915000000000003,34.28333333333333,717.5833333333334,918.9666666666667,976.2666666666668,1244.8333333333333
