Country,Netflix Cost (USD)
Afghanistan,$7.99
Aland Islands,$12.92
Albania,$8.61
Algeria,$7.99
American Samoa,$15.49
Andorra,$14.00
Angola,$7.99
Anguilla,$12.99
Antigua and Barbuda,$12.99
Argentina,$3.57
Armenia,$10.76
Aruba,$12.99
Australia,$11.19
Austria,$14.00
Azerbaijan,$10.76
Bahamas,$12.99
Bahrain,$10.49
Bangladesh,$7.99
Barbados,$15.29
Belarus,$10.76
Belgium,$14.54
Belize,$5.99
Benin,$9.99
Bermuda,$12.99
Bhutan,$7.99
Bolivia,$5.99
Bosnia and Herzegovina,$8.61
Botswana,$7.99
Bouvet Island,$9.99
Brazil,$8.10
British Indian Ocean Territory,$7.99
British Virgin Islands,$12.99
Brunei,$11.99
Bulgaria,$8.61
Burkina Faso,$7.99
Burundi,$7.99
Cambodia,$7.99
Cameroon,$7.99
Canada,$12.13
Cape Verde,$7.99
Caribbean Netherlands,$12.99
Cayman Islands,$12.99
Central African Republic,$7.99
Chad,$7.99
Chile,$9.58
Christmas Island,$7.99
Cocos (Keeling) Islands,$11.19
Colombia,$6.75
Comoros,$7.99
Republic of the Congo,$7.99
Democratic Republic of the Congo,$7.99
Cook Islands,$11.32
Costa Rica,$12.99
Cote dIvoire,$7.99
Croatia,$8.61
Cuba,$5.99
Curacao,$12.99
Cyprus,$11.84
Czechia,$11.42
Denmark,$16.46
Djibouti,$7.99
Dominica,$5.99
Dominican Republic,$7.99
Ecuador,$7.99
Egypt,$3.88
El Salvador,$7.99
Equatorial Guinea,$7.99
Eritrea,$7.99
Estonia,$10.76
Eswatini,$7.99
Ethiopia,$7.99
Falkland Islands,$12.99
Faroe Islands,$16.46
Fiji,$7.99
Finland,$12.92
France,$14.54
French Guiana,$13.46
French Polynesia,$11.99
French Southern Territories,$12.92
Gabon,$7.99
Gambia,$7.99
Georgia,$12.70
Germany,$14.00
Ghana,$7.99
Gibraltar,$14.00
Greece,$11.84
Greenland,$16.46
Grenada,$5.99
Guadeloupe,$13.46
Guam,$15.49
Guatemala,$7.99
Guernsey,$13.79
Guinea,$7.99
Guinea-Bissau,$7.99
Guyana,$5.99
Haiti,$5.99
Heard and McDonald Islands,$9.99
Honduras,$7.99
Hong Kong,$9.99
Hungary,$9.85
Iceland,$14.00
India,$5.98
Indonesia,$7.72
Iran,$9.99
Iraq,$7.99
Ireland,$16.15
Isle of Man,$13.79
Israel,$12.67
Italy,$14.00
Jamaica,$5.99
Japan,$10.28
Jersey,$13.79
Jordan,$7.99
Kazakhstan,$10.76
Kenya,$4.52
Kiribati,$7.99
Kuwait,$9.99
Kyrgyzstan,$10.76
Laos,$7.99
Latvia,$10.76
Lebanon,$7.99
Lesotho,$7.99
Liberia,$7.99
Libya,$7.99
Liechtenstein,$21.48
Lithuania,$10.76
Luxembourg,$14.54
Macau,$9.99
Madagascar,$7.99
Malawi,$7.99
Malaysia,$9.65
Maldives,$11.99
Mali,$7.99
Malta,$14.00
Marshall Islands,$15.49
Martinique,$13.46
Mauritania,$7.99
Mauritius,$7.99
Mayotte,$13.46
Mexico,$12.62
Micronesia,$15.49
Moldova,$10.76
Monaco,$14.54
Mongolia,$7.99
Montenegro,$8.61
Montserrat,$12.99
Morocco,$6.41
Mozambique,$7.99
Myanmar,$7.99
Namibia,$7.99
Nauru,$11.99
Nepal,$7.99
Netherlands,$12.92
New Caledonia,$11.99
New Zealand,$11.32
Nicaragua,$5.99
Niger,$7.99
Nigeria,$4.48
Niue,$11.32
Norfolk Island,$11.19
North Macedonia,$8.61
Northern Mariana Islands,$15.49
Norway,$9.99
Oman,$10.49
Pakistan,$2.82
Palau,$15.49
Palestine,$7.99
Panama,$8.99
Papua New Guinea,$7.99
Paraguay,$5.99
Peru,$9.28
Philippines,$7.19
Pitcairn Islands,$7.99
Poland,$10.68
Portugal,$12.92
Puerto Rico,$15.49
Qatar,$9.99
Reunion,$12.49
Romania,$10.76
Rwanda,$7.99
Samoa,$7.99
San Marino,$14.00
Sao Tome and Principe,$7.99
Saudi Arabia,$11.47
Senegal,$7.99
Serbia,$8.61
Seychelles,$7.99
Sierra Leone,$7.99
Singapore,$13.02
Sint Maarten,$12.99
Slovakia,$10.76
Slovenia,$8.61
Solomon Islands,$7.99
Somalia,$7.99
South Africa,$8.41
South Georgia and South Sandwich Islands,$9.99
South Korea,$10.25
South Sudan,$7.99
Spain,$14.00
Sri Lanka,$7.99
St Barthelemy,$5.99
St Helena,$7.99
St Kitts and Nevis,$12.99
St Lucia,$5.99
St Martin,$5.99
St Pierre and Miquelon,$14.54
St Vincent and Grenadines,$5.99
Sudan,$7.99
Suriname,$5.99
Svalbard and Jan Mayen,$9.99
Sweden,$12.32
Switzerland,$21.48
Taiwan,$10.49
Tajikistan,$12.70
Tanzania,$7.99
Thailand,$9.90
Timor-Leste,$7.99
Togo,$7.99
Tokelau,$11.32
Tonga,$7.99
Trinidad and Tobago,$12.99
Tunisia,$7.99
Turkey,$3.38
Turkmenistan,$10.76
Turks and Caicos Islands,$12.99
Tuvalu,$7.99
US Outlying Islands,$9.99
US Virgin Islands,$15.49
Uganda,$7.99
Ukraine,$8.07
United Arab Emirates,$10.62
United Kingdom,$13.79
United States,$15.49
Uruguay,$12.99
Uzbekistan,$10.76
Vanuatu,$7.99
Vatican City,$14.00
Venezuela,$5.99
Vietnam,$9.08
Wallis and Futuna,$7.99
Western Sahara,$9.99
Yemen,$7.99
Zambia,$7.99
Zimbabwe,$7.99
