Country,Immi_perc
India,0.35
China,0.07
United States,15.28
Indonesia,0.13
Pakistan,1.48
Nigeria,0.63
Brazil,0.51
Bangladesh,1.28
Russia,7.97
Ethiopia,0.94
Mexico,0.93
Japan,2.19
Egypt,0.53
Philippines,0.21
DR Congo,1.06
Vietnam,0.08
Iran,3.33
Turkey,7.18
Germany,18.81
Thailand,5.2
United Kingdom,13.79
Tanzania,0.71
France,13.06
South Africa,4.82
Italy,10.56
Kenya,1.95
Myanmar,0.14
Colombia,3.74
South Korea,3.37
Sudan,3.15
Uganda,3.76
Spain,14.63
Algeria,0.57
Iraq,0.91
Argentina,5.05
Afghanistan,0.37
Yemen,1.3
Canada,21.33
Poland,2.16
Morocco,0.28
Angola,2
Ukraine,11.43
Uzbekistan,3.47
Malaysia,10.74
Mozambique,1.08
Ghana,1.53
Peru,3.71
Saudi Arabia,38.65
Madagascar,0.13
Ivory Coast,9.72
Nepal,1.67
Cameroon,2.18
Venezuela,4.66
Niger,1.44
Australia,30.14
North Korea,0.19
Syria,4.96
Mali,2.4
Burkina Faso,3.46
Sri Lanka,0.19
Malawi,1
Zambia,1.02
Kazakhstan,19.88
Chad,3.33
Chile,8.61
Romania,3.67
Somalia,0.37
Senegal,1.64
Guatemala,0.47
Netherlands,13.76
Ecuador,4.45
Cambodia,0.47
Zimbabwe,2.8
Guinea,0.92
Benin,3.25
Rwanda,3.97
Burundi,2.9
Bolivia,1.41
Tunisia,0.51
South Sudan,7.88
Haiti,0.17
Belgium,17.3
Jordan,33.89
Dominican Republic,5.57
United Arab Emirates,88.13
Cuba,0.03
Honduras,0.4
Czech Republic,5.05
Sweden,19.84
Tajikistan,2.89
Papua New Guinea,0.35
Portugal,9.83
Azerbaijan,2.49
Greece,12.86
Hungary,6.05
Togo,3.38
Israel,22.57
Austria,19.3
Belarus,11.29
Switzerland,28.79
Sierra Leone,0.67
Laos,0.67
Turkmenistan,3.23
Hong Kong,39.52
Libya,12.03
Kyrgyzstan,3.05
Paraguay,2.38
Nicaragua,0.64
Bulgaria,2.65
Serbia,9.42
El Salvador,0.66
Republic of the Congo,7.02
Denmark,12.39
Singapore,43.14
Lebanon,25.09
Finland,6.97
Liberia,1.74
Norway,15.72
Slovakia,3.61
Palestine,5.35
Central African Republic,1.83
Oman,46.47
Ireland,17.64
New Zealand,28.65
Mauritania,3.92
Costa Rica,10.22
Kuwait,72.83
Panama,7.26
Croatia,12.86
Georgia,1.99
Eritrea,0.39
Mongolia,0.65
Uruguay,3.12
Puerto Rico,8.64
Bosnia and Herzegovina,1.1
Qatar,77.27
Moldova,2.59
Namibia,4.31
Armenia,6.42
Lithuania,5.33
Jamaica,0.8
Albania,1.7
Gabon,18.72
Botswana,4.69
Lesotho,0.56
Guinea-Bissau,0.91
Slovenia,13.37
Equatorial Guinea,16.44
Latvia,12.69
North Macedonia,6.3
Bahrain,55.01
Trinidad and Tobago,5.63
Timor-Leste,0.64
Estonia,15.02
Cyprus,15.77
Mauritius,2.27
Eswatini,2.83
Djibouti,12.12
Fiji,1.57
Reunion,14.72
Comoros,1.44
Guyana,3.96
Solomon Islands,0.37
Bhutan,6.95
Macau,62.14
Luxembourg,47.62
Montenegro,11.3
Suriname,8.15
Western Sahara,0.91
Malta,25.99
Maldives,12.96
Cape Verde,2.84
Belize,15.6
Bahamas,16.17
Iceland,19.17
Guadeloupe,22.54
Martinique,18.29
Vanuatu,1.06
Mayotte,40.88
French Guiana,39.93
New Caledonia,26.89
Barbados,12.13
French Polynesia,10.71
Sao Tome and Principe,0.98
Samoa,2.03
Curacao,36.91
Saint Lucia,4.54
Guam,47.68
Kiribati,2.62
Seychelles,13.27
Grenada,6.41
Micronesia,2.46
Aruba,50.19
Tonga,3.54
United States Virgin Islands,53.39
Isle of Man,50.62
Andorra,58.98
Cayman Islands,44.49
Dominica,11.51
Bermuda,30.89
Greenland,10.39
Faroe Islands,13.94
Saint Kitts and Nevis,14.52
American Samoa,42.77
Turks and Caicos Islands,66.5
Northern Mariana Islands,37.95
Sint Maarten,70.68
Liechtenstein,67.87
British Virgin Islands,73.29
Gibraltar,33.21
Monaco,67.79
Marshall Islands,5.57
San Marino,16.34
Palau,28.12
Anguilla,38.09
Cook Islands,26.07
Nauru,20.33
Wallis and Futuna,18.15
Tuvalu,2.03
Saint Pierre and Miquelon,17.22
Montserrat,27.62
Falkland Islands,56.24
Tokelau,91.23
Niue,35.79
Vatican City,100
